,0
420,POINT ( -17.42106945 -66.17654065545332 )
421,POINT ( -29.71297955 -53.68895977371655 )
422,POINT ( -1.3798578 -48.47964610194296 )
423,POINT ( -19.63339785 -43.96836942393943 )
424,POINT ( 2.8467389 -60.69088998008712 )
425,POINT ( -15.87174755 -47.91172169662855 )
426,POINT ( -23.00605625 -47.1418432690333 )
427,POINT ( -20.471576849999998 -54.68224625125994 )
428,POINT ( -27.670113450000002 -48.54468648648172 )
429,POINT ( -3.7762585 -38.53549233925898 )
430,POINT ( -25.5930616 -54.49060873125 )
431,POINT ( -16.634240650000002 -49.2155620047253 )
432,POINT ( -7.148930699999999 -34.95030583440195 )
433,POINT ( -3.03553825 -60.04575303314657 )
434,POINT ( -9.36148845 -40.57031761357052 )
435,POINT ( -8.70990265 -63.900493918125576 )
436,POINT ( -8.1256775 -34.92271835508188 )
437,POINT ( -9.86366315 -67.88788220300299 )
438,POINT ( -22.81122025 -43.258620204081936 )
439,POINT ( -22.91044395 -43.16418613781168 )
440,POINT ( -12.91102045 -38.33497451468749 )
441,POINT ( -2.58899115 -44.23940764493366 )
442,POINT ( -23.627429999999997 -46.655568169280684 )
443,POINT ( -23.43779495 -46.481320528800595 )
444,POINT ( -5.0598744 -42.823510202633514 )
445,POINT ( -18.882273650000002 -48.22479831961242 )
446,POINT ( -20.256092950000003 -40.28135718192593 )
447,POINT ( -23.452375699999997 -70.43973434352753 )
448,POINT ( -36.77378175 -73.06006863839588 )
449,POINT ( 4.4505551 -75.76648964124684 )
450,POINT ( 10.88795095 -74.77949844665267 )
451,POINT ( 4.7020946 -74.14771320401294 )
452,POINT ( 7.12665205 -73.18298397426294 )
453,POINT ( 3.5396452 -76.38478414079523 )
454,POINT ( 10.441642850000001 -75.51305749492116 )
455,POINT ( 7.92892685 -72.51151602924828 )
456,POINT ( 4.42177875 -75.13465345063345 )
457,POINT ( 0.86087355 -77.67183954491212 )
458,POINT ( 1.5894336 -75.56474579631328 )
459,POINT ( 11.231324350000001 -72.48919753034815 )
460,POINT ( 5.029571949999999 -75.46408383207245 )
461,POINT ( 6.16640765 -75.42394572094523 )
462,POINT ( 1.2534290499999998 -70.23402408078636 )
463,POINT ( 8.82368475 -75.82489835334957 )
464,POINT ( 2.9517519500000002 -75.29355179494848 )
465,POINT ( 1.3969458000000001 -77.29099358053416 )
466,POINT ( 4.8124677 -75.7403839964314 )
467,POINT ( 2.4547051 -76.60875093700525 )
468,POINT ( 13.357764450000001 -81.35803010797275 )
469,POINT ( 5.69001785 -76.63973768788003 )
470,POINT ( 11.527112500000001 -72.91833288840549 )
471,POINT ( 12.583392799999999 -81.71154479692137 )
472,POINT ( 9.5094532 -75.5855934551474 )
473,POINT ( -29.915545950000002 -71.20194424333569 )
474,POINT ( 10.60316215 -66.99667670060362 )
475,POINT ( 9.3329836 -75.28385821799017 )
476,POINT ( 10.4354221 -73.24902965045095 )
477,POINT ( -33.3239 -60.6658 )
478,POINT ( 5.3201424 -72.38447809054335 )
479,POINT ( -2.1579326500000002 -79.88330125961107 )
480,POINT ( -3.4422879999999996 -79.99629303403673 )
481,POINT ( -0.94690845 -80.67949990971246 )
482,POINT ( -0.12721169999999998 -78.35809738941953 )
483,POINT ( -51.8208456 -58.4564927 )
484,POINT ( 4.820737449999999 -52.36305702364213 )
485,POINT ( 6.498248800000001 -58.25592779458964 )
486,POINT ( -25.2355931 -57.51563884189728 )
487,POINT ( -25.455565999999997 -54.84361037951119 )
