airfield_name,coord
Burevestnik Airport,
Buturlinovka air base,
Chebenki air base,
Chekurovka air base,
Chelyabinsk Shagol Airport,
Chernoi air base,
Chindant air base,
Chita Northwest air base,
Chokurdakh Airport,
Chudovo air base,
Chuguyevka air base,
Danilovo air base,
Dolinsk-Sokol air base,
Dombarovsky Air Base,
Domna air base,
Dorokhovo air base,
Dyagilevo air base,
Dzhida air base,
Dzyomgi Airport,
Elizovo Airport,
Engels-2 air base,
Engozero air base,
Galenki air base,
Gorin air base,
Greem Bell Airfield,
Gromovo air base,
Ignatyevo Airport,
Ivanovo Severny air base,
Lebyazhye air base,
Lenino air base,
Letneozersky air base,
Levashovo air base,
Lipetsk air base,
Lodeynoye Pole air base,
Loukhi-3 air base,
Luostari/Pechenga air base,
Lyambir air base,
Marinovka Air Base,
Maysionvara air base,
Medyn-Aduyevo air base,
Mengon air base,
Michurinsk air base,
Migalovo air base,
Millerovo air base,
Monchegorsk air base,
Monino Airfield,
Morozovsk air base,
Mys Shmidta Airport,
Nagurskoye air base,
Naryan-Mar Airport,
Nurmalitsy air base,
Olenya air base,
Orlovka air base,
Orsk Airport,
Ostrov Bolshevik air base,
Pechora Kamenka air base,
Petrovsk air base,
Petrozavodsk Airport,
Poduzhemye air base,
Polyarny Airport,
Povorino air base,
Pravdinsk air base,
Primorsko-Akhtarsk air base,
Protasovo air base,
Provideniya Bay Airport,
Pskov Airport,
Pugachyov air base,
Pushkin Airport,
Rogachevo air base,
Rtishchevo air base,
Salmi air base,
Samara Kryazh Airport,
Savasleyka air base,
Savatiya air base,
Semyazino Airport,
Shadrinsk air base,
Sharomy air base,
Shatalovo air base,
Shaykovka air base,
Siversky air base,
Slavgorod air base,
Smolensk North Airport,
Soltsy-2 air base,
Sormovo Airfield,
Sredny Ostrov Airfield,
Stavropol Shpakovskoye Airport,
Step air base,
Stupino Airfield,
Suntar Airport,
Taganrog-Central air base,
Tambov air base,
Temp air base,
Tiksi Airport,
Torzhok air base,
Totskoye air base,
Tunoshna Airport,
Uglovoye airfield,
Ugolny Airport,
Ukkurey air base,
Ukrainka air base,
Ulyanovsk Baratayevka Airport,
Voronezh Malshevo air base,
Vozdvizhenka air base,
