,0
339,POINT ( 50.86780115 7.138887378368084 )
340,POINT ( 52.58554875 8.340892745537078 )
341,POINT ( 48.2197419 9.910174855471997 )
342,POINT ( 50.82920955 6.652255482347686 )
343,POINT ( 53.919142750000006 12.276204371080205 )
344,POINT ( 53.54880805 7.663605427309788 )
345,POINT ( 49.03057015 1.2222300055757063 )
346,POINT ( 48.770094549999996 2.20299218811825 )
347,POINT ( 49.2514148 2.5145065264394058 )
348,POINT ( 47.785726100000005 6.360612095174872 )
349,POINT ( 47.05556985 2.6265524512765723 )
350,POINT ( 44.140509 4.85796677342176 )
351,POINT ( 41.92388965 9.401126164216805 )
352,POINT ( 24.23860775 54.55217198408833 )
353,POINT ( 37.9518398 -1.2328533126513141 )
354,POINT ( 40.4848754 -3.4264772154051766 )
355,POINT ( 32.7643775 -103.1928904 )
356,POINT ( 27.9340445 -15.379115 )
357,POINT ( 52.534682399999994 17.214305287710403 )
358,POINT ( 52.007389700000004 23.14742202715444 )
359,POINT ( 53.5190233 16.2832 )
360,POINT ( 54.37953465 10.144719060049372 )
361,POINT ( 54.419071 17.769660759310486 )
362,POINT ( 53.5248058 17.2578299 )
363,POINT ( 54.5790248 18.520020881578418 )
364,POINT ( 52.2355982 16.2432781 )
365,POINT ( 50.5276362 18.087154507597596 )
366,POINT ( 53.6144248 16.1860643 )
367,POINT ( 59.38891735 15.92103100720097 )
368,POINT ( 60.421658550000004 15.51485581335173 )
369,POINT ( 65.1124893 20.7558487 )
370,POINT ( 63.0494837 17.765907573315225 )
371,POINT ( 55.920444950000004 14.087236141896444 )
372,POINT ( 58.3977814 15.5227728 )
373,POINT ( 58.7871654 16.9104983 )
374,POINT ( 60.6531076 24.8818934 )
375,POINT ( 64.2834484 27.6784449 )
376,POINT ( 63.00506195 27.798881769455257 )
377,POINT ( 60.8750361 22.74033075966674 )
378,POINT ( 53.2250119 5.756570985712516 )
379,POINT ( 47.348804099999995 18.42583413513045 )
380,POINT ( 51.658309349999996 5.698015183906874 )
381,POINT ( 51.443396899999996 4.336315574532236 )
382,POINT ( 67.45311755 32.78976672168753 )
383,POINT ( 69.3087924 87.31467521266606 )
384,POINT ( 69.7634173 61.56749323781253 )
385,POINT ( 56.64712095 32.31049764482296 )
386,POINT ( 50.228203 117.09889443759013 )
387,POINT ( 44.96973765 41.10994883131648 )
